GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
stars,edu.brown.cs.ebussmanfkierzen.stars,CRadius2,53,328,5,33,20,59,7,19,2,5
stars,edu.brown.cs.ebussmanfkierzen.stars,REPL,82,0,4,0,27,0,6,0,4,0
stars,edu.brown.cs.ebussmanfkierzen.stars,Star,66,156,15,11,12,31,12,10,1,8
stars,edu.brown.cs.ebussmanfkierzen.stars,Main.RadiusHandler,173,0,18,0,23,0,10,0,1,0
stars,edu.brown.cs.ebussmanfkierzen.stars,StarsApp,0,131,0,8,0,34,0,16,0,12
stars,edu.brown.cs.ebussmanfkierzen.stars,CRoute,257,0,18,0,55,0,16,0,7,0
stars,edu.brown.cs.ebussmanfkierzen.stars,DynamicComparator,5,22,0,0,2,4,1,2,1,2
stars,edu.brown.cs.ebussmanfkierzen.stars,KDNode,88,231,9,13,14,47,7,12,1,7
stars,edu.brown.cs.ebussmanfkierzen.stars,CNeighbors,125,232,13,25,33,52,12,12,2,3
stars,edu.brown.cs.ebussmanfkierzen.stars,CoordComparator,0,29,0,0,0,7,0,2,0,2
stars,edu.brown.cs.ebussmanfkierzen.stars,Main.ExceptionPrinter,26,0,0,0,8,0,1,0,1,0
stars,edu.brown.cs.ebussmanfkierzen.stars,Main.FrontHandler,12,0,0,0,2,0,1,0,1,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CRadius,36,225,2,20,11,47,3,13,1,4
stars,edu.brown.cs.ebussmanfkierzen.stars,MockPerson,112,0,18,0,24,0,11,0,2,0
stars,edu.brown.cs.ebussmanfkierzen.stars,Main.StarHandler,70,0,2,0,12,0,2,0,1,0
stars,edu.brown.cs.ebussmanfkierzen.stars,Main,217,0,2,0,46,0,7,0,6,0
stars,edu.brown.cs.ebussmanfkierzen.stars,KDLeaf,10,0,0,0,5,0,5,0,5,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CWays,13,0,0,0,6,0,5,0,5,0
stars,edu.brown.cs.ebussmanfkierzen.stars,MockApp,69,0,6,0,14,0,6,0,3,0
stars,edu.brown.cs.ebussmanfkierzen.stars,Node,133,0,2,0,24,0,8,0,7,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CSVParse,5,49,2,4,2,14,2,3,0,2
stars,edu.brown.cs.ebussmanfkierzen.stars,CMap,143,0,4,0,37,0,8,0,6,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CNearest,112,0,2,0,27,0,7,0,6,0
stars,edu.brown.cs.ebussmanfkierzen.stars,MapApp,53,0,0,0,23,0,15,0,15,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CNeighbors2,62,205,4,12,19,38,6,9,2,5
stars,edu.brown.cs.ebussmanfkierzen.stars,Main.NeighborHandler,173,0,18,0,23,0,10,0,1,0
stars,edu.brown.cs.ebussmanfkierzen.stars,CStars,68,84,5,5,19,21,7,5,4,3
